Reference,Light S.,Temperature (K),Pressure (bar),Phase,Molar Feed Ratio,Additive,Amount of additive (mol/L),Semicon.Prep,Cocat.Prep,CalcTemp (K),"Co-catalyst 1 Loading, wt%",Co-catalyst 1,"Co-catalyst 2 Loading, wt%",Co-catalyst 2,Dopant1/Semiconductor1 Ratio,Dop1,Dopant2/Semiconductor1 Ratio,Dop2,Semiconductor1/Semiconductor2 Ratio,Semiconductor 1,Semiconductor 2,Band Gap Energy (eV),Total Gas Yield (µmol/gcat/h)
"Slamet, H.W. Nasution, E. Purnama, S. Kosela, J. Gunlazuardi, Photocatalytic reduction of CO2 on copper-doped Titania catalysts prepared by improved-impregnation method, Catal. Commun. 6 (2005) 313–319. https://doi.org/10.1016/j.catcom.2005.01.011.",UV ,316,1,Liquid,No,No,0,Commercial,IW,298,3,Cu,0,No,0,No,0,No,100,TiO2,No,2.78,97
"P. Huo, M. Reli, L. Matějová, M. Šihor, L. Obalová, K. Kočí, A new gas phase photocatalytic reactor for CO2 conversion: Optimal photoreduction conditions with TiO2 P25 photocatalyst, NoOCON 2015 - 7th Int. Conf. Noomater. - Res. Appl. Conf. Proc. (2015) 236–241.",UV ,298,1.3,Gas,42,No,0,Commercial,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,2.78,3.64
"P. Huo, M. Reli, L. Matějová, M. Šihor, L. Obalová, K. Kočí, A new gas phase photocatalytic reactor for CO2 conversion: Optimal photoreduction conditions with TiO2 P25 photocatalyst, NoOCON 2015 - 7th Int. Conf. Noomater. - Res. Appl. Conf. Proc. (2015) 236–241.",UV ,298,1,Gas,42,No,0,Commercial,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.38,2.11
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.1,Co,0,No,0,No,0,No,100,TiO2,No,3.38,0.36
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.5,Co,0,No,0,No,0,No,100,TiO2,No,2.3,2.92
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1,Co,0,No,0,No,0,No,100,TiO2,No,2.3,12.9
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1,Co,0,No,0,No,0,No,100,TiO2,No,2.3,0.99
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1.5,Co,0,No,0,No,0,No,100,TiO2,No,2.3,18.68
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,2,Co,0,No,0,No,0,No,100,TiO2,No,2.3,0.12
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.1,V,0,No,0,No,0,No,100,TiO2,No,2.3,1
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.1,V,0,No,0,No,0,No,100,TiO2,No,1.9,15.14
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.5,V,0,No,0,No,0,No,100,TiO2,No,1.9,21.74
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.5,V,0,No,0,No,0,No,100,TiO2,No,1.9,1.61
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1,V,0,No,0,No,0,No,100,TiO2,No,1.9,0.6
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.1,Cr,0,No,0,No,0,No,100,TiO2,No,1.9,0.06
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.1,Cr,0,No,0,No,0,No,100,TiO2,No,2.2,0.34
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,0.5,Cr,0,No,0,No,0,No,100,TiO2,No,2.2,1.32
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1,Cr,0,No,0,No,0,No,100,TiO2,No,2.2,2.12
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1.5,Cr,0,No,0,No,0,No,100,TiO2,No,2.2,0.32
"O. Ola, M.M. Maroto-Valer, Synthesis, characterization and visible light photocatalytic activity of metal based TiO2 monoliths for CO2 reduction, Chem. Eng. J. 283 (2016) 1244–1253. https://doi.org/10.1016/j.cej.2015.07.090.",Vis,298,1,Gas,42,No,0,Sol gel,Sol gel,298,1.5,Cr,0,No,0,No,0,No,100,TiO2,No,2.2,1.34
"Y. Wang, F. Wang, Y. Chen, D. Zhang, B. Li, S. Kang, X. Li, L. Cui, Enhanced photocatalytic performance of ordered mesoporous Fe-doped CeO2 catalysts for the reduction of CO2 with H2O under simulated solar irradiation, Appl. Catal. B Environ. 147 (2014) 602–609. https://doi.org/10.1016/j.apcatb.2013.09.036.",Vis,303,1.1,Gas,21,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,CeO2,No,2.2,9.51
"Y. Wang, F. Wang, Y. Chen, D. Zhang, B. Li, S. Kang, X. Li, L. Cui, Enhanced photocatalytic performance of ordered mesoporous Fe-doped CeO2 catalysts for the reduction of CO2 with H2O under simulated solar irradiation, Appl. Catal. B Environ. 147 (2014) 602–609. https://doi.org/10.1016/j.apcatb.2013.09.036.",Vis,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,61,Fe,0,No,100,CeO2,No,2.73,16.14
"Y. Wang, F. Wang, Y. Chen, D. Zhang, B. Li, S. Kang, X. Li, L. Cui, Enhanced photocatalytic performance of ordered mesoporous Fe-doped CeO2 catalysts for the reduction of CO2 with H2O under simulated solar irradiation, Appl. Catal. B Environ. 147 (2014) 602–609. https://doi.org/10.1016/j.apcatb.2013.09.036.",Vis,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,76,Fe,0,No,100,CeO2,No,2.48,19.07
"Y. Wang, F. Wang, Y. Chen, D. Zhang, B. Li, S. Kang, X. Li, L. Cui, Enhanced photocatalytic performance of ordered mesoporous Fe-doped CeO2 catalysts for the reduction of CO2 with H2O under simulated solar irradiation, Appl. Catal. B Environ. 147 (2014) 602–609. https://doi.org/10.1016/j.apcatb.2013.09.036.",Vis,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,86,Fe,0,No,100,CeO2,No,2.06,22.9
"Y. Wang, F. Wang, Y. Chen, D. Zhang, B. Li, S. Kang, X. Li, L. Cui, Enhanced photocatalytic performance of ordered mesoporous Fe-doped CeO2 catalysts for the reduction of CO2 with H2O under simulated solar irradiation, Appl. Catal. B Environ. 147 (2014) 602–609. https://doi.org/10.1016/j.apcatb.2013.09.036.",Vis,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,90,Fe,0,No,100,CeO2,No,1.54,16.61
"K. Ikeue, S. Nozaki, M. Ogawa, M. Anpo, Characterization of self-standing Ti-containing porous silica thin films and their reactivity for the photocatalytic reduction of CO2 with H2O, Catal. Today. 74 (2002) 241–248. https://doi.org/10.1016/S0920-5861(02)00027-5.",UV ,323,1,Gas,0.2,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,,7.1
"K. Ikeue, S. Nozaki, M. Ogawa, M. Anpo, Characterization of self-standing Ti-containing porous silica thin films and their reactivity for the photocatalytic reduction of CO2 with H2O, Catal. Today. 74 (2002) 241–248. https://doi.org/10.1016/S0920-5861(02)00027-5.",UV ,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,,4.39
"K. Ikeue, S. Nozaki, M. Ogawa, M. Anpo, Characterization of self-standing Ti-containing porous silica thin films and their reactivity for the photocatalytic reduction of CO2 with H2O, Catal. Today. 74 (2002) 241–248. https://doi.org/10.1016/S0920-5861(02)00027-5.",UV ,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,,2.84
"K. Ikeue, S. Nozaki, M. Ogawa, M. Anpo, Characterization of self-standing Ti-containing porous silica thin films and their reactivity for the photocatalytic reduction of CO2 with H2O, Catal. Today. 74 (2002) 241–248. https://doi.org/10.1016/S0920-5861(02)00027-5.",UV ,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,,4.26
"K. Ikeue, S. Nozaki, M. Ogawa, M. Anpo, Characterization of self-standing Ti-containing porous silica thin films and their reactivity for the photocatalytic reduction of CO2 with H2O, Catal. Today. 74 (2002) 241–248. https://doi.org/10.1016/S0920-5861(02)00027-5.",UV ,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,,4.47
"K. Ikeue, S. Nozaki, M. Ogawa, M. Anpo, Characterization of self-standing Ti-containing porous silica thin films and their reactivity for the photocatalytic reduction of CO2 with H2O, Catal. Today. 74 (2002) 241–248. https://doi.org/10.1016/S0920-5861(02)00027-5.",UV ,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,,9.05
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,C3H8O,0.5,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,27.17
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,C3H8O,1,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,40.93
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,C3H8O,2,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,31.77
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,53.84
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,IW,298,0.1,Ru,0,No,0,No,0,No,100,TiO2,No,3.04,6.65
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,IW,298,0.3,Ru,0,No,0,No,0,No,100,TiO2,No,3.2,9.9
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,IW,298,0.5,Ru,0,No,0,No,0,No,100,TiO2,No,3.2,11.35
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,IW,298,1,Ru,0,No,0,No,0,No,100,TiO2,No,3.2,10.1
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.2,15.15
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,14.5
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,14.05
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,17.95
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.04,11.1
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.2,12
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.2,18.3
"N. Sasirekha, S.J.S. Basha, K. Shanthi, Photocatalytic performance of Ru doped anatase mounted on silica for reduction of carbon dioxide, Appl. Catal. B Environ. 62 (2006) 169–180. https://doi.org/10.1016/j.apcatb.2005.07.009.",UV ,298,1,Liquid,No,No,0,Solid state,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.04,14.25
"M. Tahir, N.A.S. Amin, Photocatalytic CO2 reduction with H2O vapors using montmorillonite/TiO2 supported microchannel monolith photoreactor, Chem. Eng. J. 230 (2013) 314–327. https://doi.org/10.1016/j.cej.2013.06.055.",UV ,298,1,Gas,0.95,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.04,9.24
"M. Tahir, N.A.S. Amin, Photocatalytic CO2 reduction with H2O vapors using montmorillonite/TiO2 supported microchannel monolith photoreactor, Chem. Eng. J. 230 (2013) 314–327. https://doi.org/10.1016/j.cej.2013.06.055.",UV ,298,1,Gas,0.95,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.09,75.54
"M. Tahir, N.A.S. Amin, Photocatalytic CO2 reduction with H2O vapors using montmorillonite/TiO2 supported microchannel monolith photoreactor, Chem. Eng. J. 230 (2013) 314–327. https://doi.org/10.1016/j.cej.2013.06.055.",UV ,298,1,Gas,0.95,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.09,43.78
"M. Tahir, N.A.S. Amin, Photocatalytic CO2 reduction with H2O vapors using montmorillonite/TiO2 supported microchannel monolith photoreactor, Chem. Eng. J. 230 (2013) 314–327. https://doi.org/10.1016/j.cej.2013.06.055.",UV ,298,1,Gas,0.95,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.09,183
"M. Tahir, N.A.S. Amin, Photocatalytic CO2 reduction with H2O vapors using montmorillonite/TiO2 supported microchannel monolith photoreactor, Chem. Eng. J. 230 (2013) 314–327. https://doi.org/10.1016/j.cej.2013.06.055.",UV ,298,1,Gas,0.95,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.09,203.38
"H. Yamashita, A. Shiga, S. ichi Kawasaki, Y. Ichihashi, S. Ehara, M. Anpo, Photocatalytic synthesis of CH4 and CH3OH from CO2 and H2O on highly dispersed active titanium oxide catalysts, Energy Convers. Manag. 36 (1995) 617–620. https://doi.org/10.1016/0196-8904(95)00081-N.",UVVis,323,1,Gas,0.2,No,0,Ion exchange,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,,0.02
"H. Yamashita, A. Shiga, S. ichi Kawasaki, Y. Ichihashi, S. Ehara, M. Anpo, Photocatalytic synthesis of CH4 and CH3OH from CO2 and H2O on highly dispersed active titanium oxide catalysts, Energy Convers. Manag. 36 (1995) 617–620. https://doi.org/10.1016/0196-8904(95)00081-N.",UVVis,298,1,Gas,0.33,No,0,Ion exchange,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,,0.01
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,No,0,Commercial,NP,298,0,No,0,No,0,No,0,No,100,ZrO2,No,,72
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,Na2CO3,0.38,Commercial,NP,298,0,No,0,No,0,No,0,No,100,ZrO2,No,,142
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,NaHCO3,0.12,Commercial,NP,298,0,No,0,No,0,No,0,No,100,ZrO2,No,,286.1
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,KHCO3,0.33,Commercial,NP,298,0,No,0,No,0,No,0,No,100,ZrO2,No,,232.8
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,K2CO3,0.33,Commercial,Deposition-precipitation,298,0.1,Pt,0,No,0,No,0,No,100,ZrO2,No,,120
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,No,0,Commercial,IW,298,1,Ru,0,No,0,No,0,No,100,ZrO2,No,,11
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,K2CO3,0.33,Commercial,IW,298,1,Ru,0,No,0,No,0,No,100,ZrO2,No,,103.9
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,No,0,Commercial,Deposition-precipitation,298,0.1,Au,0,No,0,No,0,No,100,ZrO2,No,,17
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,K2CO3,0.33,Commercial,Deposition-precipitation,298,0.1,Au,0,No,0,No,0,No,100,ZrO2,No,,310
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,No,0,Commercial,IW,298,1,Cu,0,No,0,No,0,No,100,ZrO2,No,,14
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,K2CO3,0.33,Commercial,IW,298,1,Cu,0,No,0,No,0,No,100,ZrO2,No,,21.5
"K. Sayama, H. Arakawa, Photocatalytic decomposition of water and photocatalytic reduction of carbon dioxide over ZrO2 catalyst, J. Phys. Chem. 97 (1993) 531–533. https://doi.org/10.1021/j100105a001.",UV ,298,1,Gas,,No,0,Commercial,Deposition-precipitation,298,0.3,Pt,0,No,0,No,0,No,100,TiO2,No,,4
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,343,1,Gas,1,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.3,0.04
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,2.95,0.19
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,NP,298,0.5,Cu,0.5,Fe,0,No,0,No,100,TiO2,No,2.95,2.4
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,Hydrothermal,298,0.5,Cu,0.5,Fe,0,No,0,No,41,TiO2,SiO2,2.95,0.72
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,Hydrothermal,298,0.5,Cu,0.5,Fe,0,No,0,No,41,TiO2,SiO2,2.95,0.75
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,Hydrothermal,298,0.5,Cu,0.5,Fe,0,No,0,No,41,TiO2,SiO2,2.95,3.93
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,Hydrothermal,298,0.5,Cu,0.5,Fe,0,No,0,No,41,TiO2,SiO2,2.95,1.34
"T.V. Nguyen, J.C.S. Wu, Photoreduction of CO2 to fuels under sunlight using optical-fiber reactor, Sol. Energy Mater. Sol. Cells. 92 (2008) 864–872. https://doi.org/10.1016/j.solmat.2008.02.010.",UV ,298,1,Gas,42,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,2.95,0.12
